building,floor,electricity,water,status,timestamp
Building B,4,118.91,214.82,normal,2025-12-02T01:24:55.644025+00:00
Building C,3,84.15,149.03,normal,2025-11-24T21:39:44.644025+00:00
Building C,5,106.19,236.4,normal,2025-12-12T10:25:49.644025+00:00
Building C,1,112.63,278.82,normal,2025-12-03T08:08:45.644025+00:00
Building A,1,86.88,172.16,normal,2025-12-05T19:04:09.644025+00:00
Building A,4,112.5,219.77,normal,2025-11-29T10:35:24.644025+00:00
Building C,5,138.08,206.71,normal,2025-12-01T14:34:58.644025+00:00
Building A,3,80.22,134.74,normal,2025-12-11T05:01:35.644025+00:00
Building A,2,84.54,185.2,normal,2025-11-16T23:11:23.644025+00:00
Building B,4,141.61,271.77,normal,2025-11-17T23:25:09.644025+00:00
Building B,5,338.54,579.66,anomaly,2025-11-30T08:27:17.644025+00:00
Building B,1,101.27,245.78,normal,2025-12-11T15:56:28.644025+00:00
Building C,1,101.19,204.33,normal,2025-12-09T03:52:20.644025+00:00
Building A,2,78.33,192.49,normal,2025-11-21T00:49:16.644025+00:00
Building A,5,302.38,521.76,anomaly,2025-11-16T13:29:24.644025+00:00
Building B,5,123.14,270.1,normal,2025-11-20T04:17:47.644025+00:00
Building B,3,155.62,222.62,normal,2025-12-03T21:12:08.644025+00:00
Building C,5,111.32,218.84,normal,2025-11-27T23:44:35.644025+00:00
Building C,1,113.39,218.94,normal,2025-11-20T16:49:54.644025+00:00
Building B,1,98.38,242.91,normal,2025-11-18T01:26:44.644025+00:00
Building C,3,77.33,182.21,normal,2025-12-06T06:17:26.644025+00:00
Building B,4,137.46,278.81,normal,2025-12-14T20:06:18.644025+00:00
Building A,2,114.69,201.98,normal,2025-12-05T13:21:39.644025+00:00
Building A,5,108.57,253.37,normal,2025-12-07T12:42:00.644025+00:00
Building C,3,112.9,229.64,normal,2025-11-22T12:39:12.644025+00:00
Building B,3,98.38,227.49,normal,2025-12-06T00:49:08.644025+00:00
Building B,4,118.55,313.05,normal,2025-12-10T10:11:31.644025+00:00
Building C,3,133.51,179.32,normal,2025-11-29T12:42:02.644025+00:00
Building C,3,135.14,252.16,normal,2025-12-15T13:37:15.644025+00:00
Building A,3,299.25,644.93,anomaly,2025-11-22T21:34:53.644025+00:00
Building B,5,141.21,231.32,normal,2025-12-11T10:40:49.644025+00:00
Building C,1,92.26,219.9,normal,2025-12-14T15:43:45.644025+00:00
Building B,3,127.77,209.51,normal,2025-11-19T00:39:40.644025+00:00
Building C,2,91.44,182.19,normal,2025-12-10T21:10:28.644025+00:00
Building A,2,357.72,589.71,anomaly,2025-12-11T18:36:09.644025+00:00
Building A,3,137.21,239.4,normal,2025-12-08T12:21:22.644025+00:00
Building C,1,83.28,149.68,normal,2025-12-10T06:32:51.644025+00:00
Building B,4,110.57,170.65,normal,2025-12-13T07:50:30.644025+00:00
Building A,4,146.87,228.55,normal,2025-12-03T20:17:02.644025+00:00
Building A,4,148.67,251.03,normal,2025-11-23T15:19:40.644025+00:00
Building B,4,123.31,209.8,normal,2025-11-26T19:43:17.644025+00:00
Building A,5,87.0,210.61,normal,2025-11-28T20:28:54.644025+00:00
Building B,4,186.53,380.26,normal,2025-12-03T10:48:05.644025+00:00
Building A,1,77.79,163.76,normal,2025-11-21T00:21:59.644025+00:00
Building B,1,167.84,236.33,normal,2025-12-12T08:48:29.644025+00:00
Building C,5,166.68,271.16,normal,2025-12-13T10:27:15.644025+00:00
Building A,2,113.26,304.47,normal,2025-12-07T13:40:25.644025+00:00
Building C,3,121.2,225.4,normal,2025-11-18T09:03:57.644025+00:00
Building A,5,107.2,248.82,normal,2025-12-12T15:26:42.644025+00:00
Building A,1,111.35,303.31,normal,2025-11-20T09:47:57.644025+00:00
Building C,3,88.93,190.82,normal,2025-12-11T20:07:37.644025+00:00
Building A,1,128.26,212.44,normal,2025-12-11T19:24:16.644025+00:00
Building C,4,78.05,150.19,normal,2025-11-27T03:57:27.644025+00:00
Building A,1,94.83,224.95,normal,2025-12-09T03:15:11.644025+00:00
Building B,3,115.02,173.18,normal,2025-11-25T20:44:08.644025+00:00
Building B,2,121.96,165.27,normal,2025-11-30T23:25:12.644025+00:00
Building A,5,131.7,168.99,normal,2025-12-02T03:40:04.644025+00:00
Building A,3,77.99,153.72,normal,2025-11-24T19:28:24.644025+00:00
Building B,1,119.35,225.46,normal,2025-11-25T20:23:47.644025+00:00
Building A,2,389.92,537.44,anomaly,2025-12-15T08:41:56.644025+00:00
Building C,2,96.11,239.02,normal,2025-12-13T17:12:35.644025+00:00
Building C,4,110.8,232.76,normal,2025-12-14T16:31:44.644025+00:00
Building A,3,133.16,175.2,normal,2025-11-23T10:51:58.644025+00:00
Building A,1,108.52,261.39,normal,2025-11-17T18:28:11.644025+00:00
Building B,4,84.85,261.26,normal,2025-11-23T03:55:04.644025+00:00
Building B,2,95.81,184.83,normal,2025-11-16T00:34:43.644025+00:00
Building B,2,119.72,263.96,normal,2025-11-26T02:22:21.644025+00:00
Building C,2,99.71,135.13,normal,2025-12-02T03:52:01.644025+00:00
Building A,5,115.49,218.82,normal,2025-11-22T23:25:34.644025+00:00
Building A,5,114.26,239.36,normal,2025-12-01T06:58:15.644025+00:00
Building C,3,121.94,246.92,normal,2025-12-15T13:03:48.644025+00:00
Building C,2,156.36,186.97,normal,2025-12-12T08:23:47.644025+00:00
